id,priority,src_ip,dst_ip,protocol,port,action
rule_001,10,192.168.1.0/24,10.0.0.0/8,tcp,80,allow
rule_002,20,192.168.1.0/24,10.0.0.0/8,tcp,443,allow
rule_003,30,192.168.1.0/24,10.0.0.0/8,tcp,22,allow
rule_004,40,0.0.0.0/0,10.0.0.0/8,udp,53,allow
rule_005,50,172.16.0.0/12,10.0.0.0/8,tcp,3306,deny
rule_006,60,0.0.0.0/0,192.168.1.0/24,tcp,8080-8090,allow
rule_007,70,10.0.0.0/8,0.0.0.0/0,icmp,any,allow
rule_008,80,0.0.0.0/0,0.0.0.0/0,tcp,any,deny
rule_009,90,192.168.0.0/16,10.0.0.5,tcp,22,deny
rule_010,100,0.0.0.0/0,0.0.0.0/0,udp,any,deny
